"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"L1","DFE252012PD-2R2M=P2","INDC2520X120N","129.380000","-90.851668","45.000000","top"
"L2","DFE252012PD-2R2M=P2","INDC2520X120N","126.880000","-119.126700","90.000000","top"
"MK1","IM69D129FV01","Knowles_LGA-5_3.5x2.65mm","134.880000","-54.559200","180.000000","top"
"MK2","IM69D129FV01","Knowles_LGA-5_3.5x2.65mm","152.880000","-90.126700","90.000000","top"
"MK3","IM69D129FV01","Knowles_LGA-5_3.5x2.65mm","130.380000","-130.194200","0.000000","top"
"MK4","IM69D129FV01","Knowles_LGA-5_3.5x2.65mm","84.380000","-130.126700","0.000000","top"
"MK5","IM69D129FV01","Knowles_LGA-5_3.5x2.65mm","60.898000","-90.464200","-90.000000","top"
"MK6","IM69D129FV01","Knowles_LGA-5_3.5x2.65mm","88.042500","-49.608700","180.000000","top"
"R1","10k","R_0402_1005Metric","133.598800","-63.117368","90.000000","top"
"R2","10k","R_0402_1005Metric","133.600000","-68.646668","90.000000","top"
"R3","180k","R_0402_1005Metric","126.370000","-122.626700","0.000000","top"
"R4","33k","R_0402_1005Metric","126.370000","-123.626700","180.000000","top"
"R5","180k","R_0402_1005Metric","146.790613","-93.846407","0.000000","top"
"R6","33k","R_0402_1005Metric","146.780613","-92.846407","180.000000","top"
"R7","22","R_0402_1005Metric","122.300321","-75.793591","-135.000000","top"
"R8","22","R_0402_1005Metric","123.212961","-76.681232","-135.000000","top"
"R9","5.1k","R_0402_1005Metric","118.380000","-68.626700","0.000000","top"
"R10","5.1k","R_0402_1005Metric","113.880000","-68.626700","180.000000","top"
"R11","42.2k E96","R_0402_1005Metric","130.480000","-115.096668","-90.000000","top"
"R12","5.1k","R_0402_1005Metric","120.880000","-68.626700","90.000000","top"
"R13","10k","R_0402_1005Metric","121.880000","-68.626700","-90.000000","top"
"R14","100k","R_0402_1005Metric","128.830000","-115.116668","-90.000000","top"
"R15","10k","R_0402_1005Metric","133.880000","-103.126700","90.000000","top"
