"Refs","Value","Footprint","Qty","DNP"
"JP2","~","PCM_SparkFun-Jumper:Jumper_2_NO","1",""
"JP3","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP4","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP5","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP6","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP7","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"JP8","~","PCM_SparkFun-Jumper:Jumper_2_NC_Trace","1",""
"L1","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","1",""
"L2","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","1",""
"MK1","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK2","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK3","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK4","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK5","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"MK6","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","1",""
"R1","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R2","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R3","180k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R4","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R5","180k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R6","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R7","22","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R8","22","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R9","5.1k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R10","5.1k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R11","42.2k E96","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R12","5.1k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R13","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R14","100k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R15","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R16","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R17","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R18","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R19","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R20","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R23","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R24","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R25","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R26","33k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R27","100k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R28","330","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R29","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R30","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R31","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R32","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R33","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R34","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R35","22","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R36","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R37","2.2k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"R38","10k","PCM_SparkFun-Resistor:R_0402_1005Metric","1",""
"SW1","SMD_4.6x2.8mm","PCM_SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","1",""
"SW2","SMD_4.6x2.8mm","PCM_SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","1",""
"SW3","SMD_4.6x2.8mm","PCM_SparkFun-Switch:Push_SMD_4.6x2.8mm_h1.9mm","1",""
"TP1","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP2","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP3","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP4","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP5","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP6","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP7","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"TP8","0.5mm","PCM_SparkFun-Connector:TestPoint-0.5mm","1",""
"U1","STM32U5G7VJTxQ","Package_QFP:LQFP-100_14x14mm_P0.5mm","1",""
"U2","TPS629210DRLR","TPS629210:SOT50P160X60-8N","1",""
"U3","BQ25186","BQ25186:IC_BQ25185DLHR","1",""
"U4","TLV75733PDRV","PCM_SparkFun-Semiconductor-Standard:WDFN-6_2x2mm","1",""
"U5","E80-900M2213S","ebyte:E80-x00M2213S","1",""
"U6","FDV304P","FDV304P:SOT23-3","1",""
"U7","L86-M33","L86-M33:XCVR_L86-M33","1",""
"U8","LIS2HH12","Package_LGA:LGA-12_2x2mm_P0.5mm","1",""
"U9","LIS2MDL","Package_LGA:LGA-12_2x2mm_P0.5mm","1",""
"U10","CPT-9019A-SMT-TR","CUI_CPT_9019S:XDCR_CPT-9019A-SMT-TR","1",""
"Y1","ABM8AIG-16.000MHZ-12-2Z-T3","PCM_SparkFun-Clock:Crystal_SMD_3.2x2.5mm","1",""
"Y2","32.768kHz ABS07-32.768KHZ-T","PCM_SparkFun-Clock:Crystal_SMD_3.2x1.5mm","1",""
