Position,Name,Type,Signal,f,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
80,PC12,I/O,SDMMC1_CK,SDIO_CLK,DEBUG_TRACED3,,,,,,SPI3_MOSI,USART3_CK,UART5_TX,TSC_G3_IO4,DCMI_D9/PSSI_D9,,SDMMC1_CK,SAI2_SD_B,,EVENTOUT
81,PD0,I/O,I2C5_SDA,SENS_I2C_SDA,,,I2C6_SDA,TIM8_CH4N,I2C5_SDA,SPI2_NSS,,,LTDC_B4,FDCAN1_RX,,,FMC_D2/FMC_DA2,,,EVENTOUT
82,PD1,I/O,I2C5_SCL,SENS_I2C_SCL,,,I2C6_SCL,,I2C5_SCL,SPI2_SCK,,,LTDC_B5,FDCAN1_TX,,,FMC_D3/FMC_DA3,,,EVENTOUT
83,PD2,I/O,SDMMC1_CMD,SDIO_CMD,DEBUG_TRACED2,,TIM3_ETR,,I2C5_SMBA,,,USART3_DE/USART3_RTS,UART5_RX,TSC_SYNC,DCMI_D11/PSSI_D11,,SDMMC1_CMD,LPTIM4_ETR,FMC_A20,EVENTOUT
84,PD3,I/O,MDF1_SDI0,MIC_SD0,,,I2C6_SMBA,SPI2_SCK,DCMI_D5/PSSI_D5,SPI2_MISO,MDF1_SDI0,USART2_CTS,LTDC_CLK,,OCTOSPIM_P2_NCS,,FMC_CLK,,,EVENTOUT
85,PD4,Output,GPIO_Output,SYS_SD_BLUE,,,,,,SPI2_MOSI,MDF1_CKI0,USART2_DE/USART2_RTS,,,OCTOSPIM_P1_IO4,,FMC_NOE,,,EVENTOUT
86,PD5,I/O,USART2_TX,MBUS_TX_STM_TX,,,,,,SPI2_RDY,,USART2_TX,,,OCTOSPIM_P1_IO5,,FMC_NWE,,,EVENTOUT
87,PD6,I/O,MDF1_SDI1,MIC_SD1,,,,SAI1_D1,DCMI_D10/PSSI_D10,SPI3_MOSI,MDF1_SDI1,USART2_RX,LTDC_DE,,OCTOSPIM_P1_IO6,SDMMC2_CK,FMC_NWAIT,SAI1_SD_A,,EVENTOUT
88,PD7,Output,GPIO_Output,SD_PWR,,,GFXTIM_FCKCAL,,,GFXTIM_LCKCAL,MDF1_CKI1,USART2_CK,,,OCTOSPIM_P1_IO7,SDMMC2_CMD,FMC_NCE/FMC_NE1,LPTIM4_OUT,,EVENTOUT
89,PB3 (JTDO/TRACESWO),I/O,DEBUG_JTDO-SWO,TRACE_SWO,DEBUG_JTDO-SWO,TIM2_CH2,LPTIM1_CH1,ADF1_CCK0,I2C1_SDA,SPI1_SCK,SPI3_SCK,USART1_DE/USART1_RTS,,,CRS_SYNC,,SDMMC2_D2,SAI1_SCK_B,,EVENTOUT
90,PB4 (NJTRST),Output,GPIO_Output,EXT_3,DEBUG_JTRST,LPTIM1_CH2,TIM3_CH1,ADF1_SDI0,I2C3_SDA,SPI1_MISO,SPI3_MISO,USART1_CTS,UART5_DE/UART5_RTS,TSC_G2_IO1,DCMI_D12/PSSI_D12,,SDMMC2_D3,SAI1_MCLK_B,TIM17_BKIN,EVENTOUT
91,PB5,Output,GPIO_Output,SYS_MAIN_RED,,LPTIM1_IN1,TIM3_CH2,OCTOSPIM_P1_NCLK,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI,USART1_CK,UART5_CTS,TSC_G2_IO2,DCMI_D10/PSSI_D10,,COMP2_OUT,SAI1_SD_B,TIM16_BKIN,EVENTOUT
92,PB6,I/O,I2C1_SCL,EXT_I2C_SCL,,LPTIM1_ETR,TIM4_CH1,TIM8_BKIN2,I2C1_SCL,I2C4_SCL,MDF1_SDI5,USART1_TX,,TSC_G2_IO3,DCMI_D5/PSSI_D5,,,SAI1_FS_B,TIM16_CH1N,EVENTOUT
93,PB7,I/O,I2C1_SDA,EXT_I2C_SDA,,LPTIM1_IN2,TIM4_CH2,TIM8_BKIN,I2C1_SDA,I2C4_SDA,MDF1_CKI5,USART1_RX,UART4_CTS,TSC_G2_IO4,DCMI_VSYNC/PSSI_RDY,GFXTIM_TE,FMC_NL,,TIM17_CH1N,EVENTOUT
94,PH3-BOOT0,Input,GPIO_Input,BOOT0,,,,,,,,,,,,,,,,EVENTOUT
95,PB8,Output,GPIO_Output,EXT_2,,,TIM4_CH3,SAI1_CK1,I2C1_SCL,MDF1_CCK0,SPI3_RDY,LTDC_B1,SDMMC1_CKIN,FDCAN1_RX,DCMI_D6/PSSI_D6,SDMMC2_D4,SDMMC1_D4,SAI1_MCLK_A,TIM16_CH1,EVENTOUT
96,PB9,Output,GPIO_Output,EXT_1,,IR_OUT,TIM4_CH4,SAI1_D2,I2C1_SDA,SPI2_NSS,,LTDC_B0,SDMMC1_CDIR,FDCAN1_TX,DCMI_D7/PSSI_D7,SDMMC2_D5,SDMMC1_D5,SAI1_FS_A,TIM17_CH1,EVENTOUT
97,PE0,Input,GPIO_Input,CHG_INT,,,TIM4_ETR,,,,,USART6_RX,LTDC_HSYNC,,DCMI_D2/PSSI_D2,,FMC_NBL0,,TIM16_CH1,EVENTOUT
98,VDD11,Power,,,,,,,,,,,,,,,,,,
99,VSS,Power,,,,,,,,,,,,,,,,,,
100,VDD,Power,,,,,,,,,,,,,,,,,,
