"Reference","Value","Footprint","Description","Q_SUPPLIER","Q_SUPPLIER_PN","MF","MP","LCSC"
"C31","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C32","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C33","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C34","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C35","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C36","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C37","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C38","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C39","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C40","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C41","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C42","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C43","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C44","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C45","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C46","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C47","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C48","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C49","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C50","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C51","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"C52","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
